dataset_size,model name,vectorizer/scaler,balancing,f1 score,accuracy,precision,recall
8K,logistic_regression,TF-IDF / MinMax Scaling,Oversample,0.5439,0.7219,0.5481,0.5400
8K,logistic_regression,TF-IDF / L2 Normalizer,Oversample,0.5762,0.7269,0.5721,0.5804
8K,logistic_regression,BOW / MinMax Scaling,Oversample,0.5976,0.7520,0.6018,0.5935
8K,logistic_regression,BOW / L2 Normalizer,Oversample,0.5446,0.7232,0.5503,0.5391
8K,logistic_regression,spaCy / MinMax Scaling,Oversample,0.4872,0.5863,0.4868,0.4876
8K,logistic_regression,spaCy / L2 Normalizer,Oversample,0.5457,0.7244,0.5418,0.5498
8K,gauss_naive_bayes_classification,TF-IDF / MinMax Scaling,Oversample,0.3707,0.4375,0.3887,0.3539
8K,gauss_naive_bayes_classification,TF-IDF / L2 Normalizer,Oversample,0.3588,0.4294,0.3784,0.3406
8K,gauss_naive_bayes_classification,spaCy / MinMax Scaling,Oversample,0.3333,0.3622,0.3333,0.3333
8K,gauss_naive_bayes_classification,spaCy / L2 Normalizer,Oversample,0.3333,0.3622,0.3333,0.3333
8K,gauss_naive_bayes_classification,BOW / MinMax Scaling,Oversample,0.3561,0.4200,0.3819,0.3339
8K,gauss_naive_bayes_classification,BOW / L2 Normalizer,Oversample,0.3732,0.4407,0.3852,0.3618
8K,multinomial_naive_bayes_classification,TF-IDF / MinMax Scaling,Oversample,0.5147,0.6591,0.5384,0.4926
8K,multinomial_naive_bayes_classification,TF-IDF / L2 Normalizer,Oversample,0.5531,0.6924,0.5687,0.5383
8K,multinomial_naive_bayes_classification,BOW / MinMax Scaling,Oversample,0.5268,0.6723,0.5450,0.5094
8K,multinomial_naive_bayes_classification,BOW / L2 Normalizer,Oversample,0.5709,0.7068,0.5853,0.5570
8K,support_vector_classification,TF-IDF / MinMax Scaling,Oversample,0.2790,0.6353,0.3433,0.2381
8K,support_vector_classification,BOW / MinMax Scaling,Oversample,0.5068,0.6560,0.5298,0.4851
8K,random_forest_classification,BOW / MinMax Scaling,Oversample,0.5292,0.7100,0.5487,0.5109
8K,random_forest_classification,TF-IDF / MinMax Scaling,Oversample,0.5367,0.7144,0.5570,0.5175
8K,random_forest_classification,spaCy / L2 Normalizer,Oversample,0.4581,0.6905,0.4684,0.4483
8K,k_nearest_neighbors_classification,spaCy / L2 Normalizer,Oversample,0.3751,0.4739,0.3837,0.3667
8K,k_nearest_neighbors_classification,BOW / MinMax Scaling,Oversample,0.4350,0.5838,0.4534,0.4177
