title,text,symbols
My 3 years in Belgium is ending ... this book was a big help!,"All in all, in my 3 years living in Belgium, I found this a really helpful guide book.  Prices are always wrong in guidebooks, but I found the contact information (web, address, phone) nearly always right, and the descriptions accurate...You will be very challenged to find another guidebook that has this level of coverage of Belgium in its entirety, as most seem to focus on Brussels, Gent, Bruges, and perhaps Antwerp.  Belgium seems to typically be an afterthought on most tourists' itineraries...I really enjoyed the author's picks, both hotels and restaurants.  What can I say to the other reviewer where the hotel unfortunately cancelled their booking because they found a group that would pay them more?  Is that the authors' fault?  No, welcome to Europe, and to Belgium, where the customer is always ... wrong!!..So you're browsing guidebooks, and wondering which one to get?..I would have to say, based on my experience using an earlier edition of this book for the past 3 years (I imagine they're pretty similar!), if you're swinging through Belgium for 2 days, and going to see Brussels and Bruges, this book is probably not the best for you.  You'll probably do better with a thinner city-specific guidebook.  But if you're going to tour around Belgium, or spend an extended amount of time in a city or two, then the in-depth coverage of this book is a real benefit...One criticim I do have to echo:  Lonely Planet, let's face it, is not known for its maps, and this book is no exception.  They're good enough, and I've never NOT been able to find something, but sometimes the maps, er, well, don't necessarily reflect reality...So all in all, this is a solid book, and if you follow my advice in paragraph 5, I think you'll be happy with it.",
Great read!,"I loved it.  It is so different from all of her other books, which I have also read and loved.",
Was my kids favorite book growing up,"Was my kids favorite book growing up, and continues to be a great go to book for when I sub in kindergarten classes!",
Five Stars,its a good book but old,
"Bought book 2, in this series, that tells you...","Bought book 2, in this series, that tells you... No spoilers but this is a fun storyline..",
Five Stars,delightfully charming!,
Fun book to read,My 9 year-old loves to read these books.  As long as he's interested I will continue to get these books for him.,
Five Stars,"Heartbreaking, beautiful",
"Wow, harder than I thought","This book has some pieces that need fast moving fingers. I need to work back up to this.  I used to be a good flutist, but it's been years since I have really played. I do like that it comes with a CD so you can hear what it should sound like. This is by no means a book for beginners, but challenging good music selection",
Five Stars,thank you great job,
Egypt,"A very good book.Atmospheric, reflects the current environment in Egypt..Plus good characters and plot, will read more of this author's work",
A Must Watch,Five stars but for adults only..Love the plot twists which are impossible to anticipate..A must watch.,
Password log,"I like this book. I would have preferred tabbed pages, so I might adjust them for that.",
3 in 1...what a deal!!!,"It's great when one of your best friends just happens to own a book shop. I found this trilogy of Nora's in the book shop and got a great deal on it. I think my favorite was Finding The Dream, with Laura Templeton & Michael Fury, probably because he's the handsome, dangerous type of guy that every woman wants to fall in love with.  And he struggled to be good enough for where he  finally ended up. And she was so level-headed in so many ways, except the creep of a husband she was married to. Laura struggles with her two daughters after she divorces their father, with the oldest blaming Laura for his departure. Kids can be so cruel when they don't understand. The story just took me to tears at times. Then too, I really enjoyed Daring to Dream with Margo and Josh Templeton. She finds out about her mother's one and only love, Margo's father, and Margo regains a relationship with her mother that she'd felt was lost. Margo is the beautiful, well-built woman that every man dreams about, but she's a wild child that Josh Templeton has long been waiting for to return home. The dialogue is great, both witty and warm at the same time. Margo is nearly bankrupt when she returns to Templeton House, but finds her roots again, not only with starting a new business, but also with her mother. Josh was my second favorite of the men in this trilogy. He's so cool...And then there's Holding The Dream with Kate and Byron. This story was okay, but not nearly the page-turner that the other two were. But Kate is an altogether different type of woman than Laura and Margo. It's the bond that holds them together as sisters, even though they aren't, that I really found endearing. This trilogy was great. I'm glad I found it.",
"Great Value, Great Magazine",I missed getting this in the store and the markup wasn't that much.  It's a great magazine and something to treasure now that the show is gone for good (seemingly)!,
Good Read,I enjoy legal thrillers and this did not disappoint. The one I thought was the killer wasn't. The characters were well developed. My only complaint is the constant reminders that she and her famiy are east lake trash. This is one of the better books I have read on Kindle Unlimited recently. I plan to read the next one in the series.,
An Invaluable Resource,"""Grassroots Marketing"" is an excellent textbook on small business marketing and advertising. It is an enjoyable and useful book. After reading the book, one will really understand that marketing is all about understanding the customer needs and finding solutions that delight the customer. The reader will come to appreciate that marketing is a philosophy of doing business for those organisations that are going to thrive in the current highly competitive markets...This work is densely packed with valuable insights, guidance, and marketing techniques. It offers enormous potential to receptive and motivated readers who are able to move from thought to action. The book carries pertinent information, but it is organized and written in such a way that is easily digestible...I would recommend it to newcomers to marketing or business entrepreneurs or small business consultants or trainers or those who just wants some insight into how to effectively market goods or services.",
Four Stars,Very helpful to my artist wife.,
Excellent!,Fast shipping! Excellent!,
Good book,Good book,
Great Book,I'm a history buff.The best book I have read on the Pacific War. A lot of information. I can't wait to start on the second book.,
Great,I purchased this for my best friend as she would call me and ask me her passwords....LoL. I saw this and sent it to her. She loves it and actually uses it. She recommends it and so do I.,
A Real Saint!,"If you want to know what it means to ""Love"" as the Gospel of Christ tells us, read this book.  Faith, Hope and Love are lived in Saint Kolbe's life like no other.  I have a new role model in Saint Kolbe.",
Cute,cute book that I bought for my nieces.,
Fascinating.,Fascinating.,
Not the page turner the rest of Grisham books are.,"A bit repetitive, didn't at all like the too many emails between the students and their loan officers - as an attorney with student loans, I have never received an email from the lender.  Zola cries the whole way through.  I also didn't believe the loyalty these three showed to one another.  Law students are competitive.  It wrapped up nicely but to name the new bar the Rooster Bar = how to get the FBI to find you in the country where Zola is from and left to see her parents.  Grisham is the best writer and the only one I read but this one is not his best (least fav after the baseball and Christmas stories and the horrible ending of the Testament.)  The rest were all five star novels.  Worth the read, just not his best.  Not the page turner almost all of his other novels are.",=
Elvis: By the Presleys,It was nice to be able to read about Elvis from Priscilla's perspective.  I recommend it.,
Broken,Book came broken,
"The students were given one at school, but this ...","The students were given one at school, but this is a large, heavy book so we bought it to keep at home.  So much easier than having to carry it back and forth in an already heavy backpack!",
good,good,
Great kids book,Loved it so much we bought all her other books and we are going to make her into our Halloween costume!,
"shame, there could have been so much potential...","I must say that this book had a lot of potential. It is a shame that there wasn't a good editor present before the book was published. I do not see myself as a &#34;Grammer nazi&#34; in anyway, but parts of the book lost their appeal when the Grammer was imcorrect. Also, the book took a bit of a Twilight twist during the &#34;present&#34; part of the book. It was a little disturbing that a 600 year old lady was sleeping  with a 16 year old boy and kept repeating high school over and over. I enjoyed the &#34;past&#34; much more and found myself skipping whole &#34;present&#34; chapters. All in all it was ok. I am not convinced to purchase the second book.",
Great.,My grandson really enjoyed it 😊,😊
Great story and beautiful pictures,We love this book.  Very nice printing and pictures.  It is a short story for beginning chapter book readers.  Highly recommended.,
Ahhhhh!,"I cried, I laughed and at the end I have a HUGE smile on my face! Rion had me laughing so hard yet again and I'm going to miss reading about him! In this book we meet Nick and Logan which added a new spin in things which I liked. There's surprises, danger, betrayal and a happy ending. Love love loved this series!",
Great read,Enjoyed this very much. It may be 20 years old but it's a great plot with an intriguing and educational view into Japanese culture and Bushido.,
Not as useful as I had hoped,"I had hoped this would be a quick resource to aid me in my ESL classroom when communicating with parents.  Not really.  I flipped through it a few times, and then gave it away.",
Great especially for students without a lot of formal education in Spanish!,Very helpful book for students who are not advanced in the grammar of Spanish. I use this with my students as  workbook and it has produced great results!,
a great thriller!,"An edge of your seat thriller wi Kendra as the person who is the sensor and Adam Lynch as the former FBI agent, a gun for hire for the good guys. Random people are dying in the San Diego area with no connection except they were knifed..We meet the regional FBI office staff, get to know them as well as Kendra, Lynch and Olivia who is Kendra’s life long friend..They follow clues Questioning people and she reads the clues her senses pick up. Soon they become targets. Great characters and very interesting plot.",
Hooray for high interst books!,A fun story and very readable! High interest reading for even my struggling second graders.,
Well-written and evocative,"Having grown up in Montana, I know only too well the predjudice against Native Americans that exists there. The heroine, Win, is a brave young girl who goes against cultural expectations, and takes up with Bell, a Native American. What happens is described evocatively and makes it hard to put down.",
Artist,"Treat yourself by spending time reading Patti Smith’s memoir titled, Year of the Monkey. This multi-dimensional talented artist offers readers her memories, dreams, impressions, and experiences of 2016. We travel with her during this year and thanks to her poetic language, we feel what she felt. Thanks to her photographs, we see a few of the things that her artistic eye captured. Most of all, we get to admire a talented artist use many of her skills to try to reveal herself to us and to help us reveal ourselves to the world...Rating: Four-star (I like it)",
Thumbs up!,"My 14 month old really enjoys this book.  It has the cow, pig, sheep, cat, and dog in it so it's not too much to throw at him at one time.  The colors are bright too. it so much,  It's simple enough to not overwhelm him yet he learns from it too.",
It's a page Turner.,I love the whole series. Blood Echo was fast paced and exciting. Already looking forward to next one.,
Awesome Book!,I think this book is great.So informative.I did start this diet on Dec. 8th before I received the book and I have actually lost 3 lbs.I don't know if it as just water or not but I can tell you that this diet is not hard at all. You eat 500 calories every other day and then as much as you want on the alternative days.In the book there are a lot of recipe ideas. Ideas including entrees fresh or frozen and snacks.Lots of info.Also a maintenance plan for after you reach your goal! I would recommend this highly.,
Great British mystery series,We’ve been watching the Morse series on Prime Video and these books are the original writing about the characters. Excellent read and having the whole set has been cool. The nice thing is that they didn’t spoil the TV version,
